iter	RMSE
299	2236.45692
300	2236.432486
301	2236.17936
302	2236.177418
303	2236.114063
304	2236.073651
305	2236.07183
306	2235.215264
307	2233.764865
308	2233.680534
309	2233.662049
310	2233.587473
311	2233.53017
312	2232.923094
313	2232.504528
314	2231.676346
315	2231.665519
316	2231.663716
317	2231.646781
318	2231.626451
319	2231.609738
320	2231.268007
321	2231.251009
322	2231.239099
323	2231.1063
324	2229.338513
325	2229.333859
326	2229.331749
327	2229.318195
328	2229.21546
329	2227.437466
330	2225.502514
331	2225.338129
332	2225.335389
333	2225.323908
334	2225.310798
335	2225.308791
336	2224.988711
337	2224.960765
338	2224.807815
339	2224.579458
340	2224.579423
341	2223.20292
342	2222.87641
343	2222.828416
344	2222.649918
345	2222.558377
346	2222.433697
347	2222.194881
348	2222.18962
349	2222.115692
350	2220.704547
351	2220.409617
352	2219.845751
353	2218.286786
354	2218.236715
355	2218.213613
356	2218.167459
357	2215.911047
358	2214.135301
359	2213.951798
360	2213.757771
361	2213.626155
362	2213.615594
363	2212.760327
364	2212.31932
365	2211.458222
366	2209.992618
367	2209.958614
368	2209.930321
369	2209.870061
370	2209.817515
371	2209.813209
372	2209.731399
373	2207.490472
374	2207.4802
375	2207.395078
376	2207.076295
377	2207.020965
378	2206.931865
379	2206.8984
380	2206.813749
381	2206.740553
382	2205.38475
383	2205.229692
384	2205.18299
385	2205.071207
386	2204.88365
387	2203.474367
388	2203.337233
389	2203.284654
390	2203.101097
391	2202.954343
392	2201.850182
393	2201.708024
394	2201.675496
395	2200.978796
396	2200.395214
397	2200.311514
398	2200.167642
399	2199.994985
400	2199.843656
401	2199.754009
402	2198.746116
403	2198.447656
404	2198.320565
405	2196.896394
406	2196.69706
407	2196.593077
408	2194.916593
409	2194.800268
410	2192.648194
411	2192.553795
412	2192.352213
413	2192.237437
414	2192.109513
415	2191.510201
416	2191.455297
417	2191.416548
418	2191.327899
419	2191.323185
420	2190.581528
421	2189.897375
422	2189.796617
423	2189.725774
424	2189.074116
425	2189.038868
426	2188.990938
427	2188.966098
428	2188.799364
429	2188.755724
430	2188.599412
431	2188.537421
432	2188.425187
433	2187.033331
434	2186.867706
435	2186.841728
436	2186.836583
437	2186.637845
438	2186.602155
439	2185.500082
440	2185.404878
441	2185.309875
442	2185.254397
443	2185.085989
444	2184.982396
445	2184.876753
446	2183.250709
447	2183.154109
448	2183.071789
449	2181.578545
450	2181.503631
451	2181.474782
452	2181.250451
453	2179.304502
454	2179.068721
455	2178.660171
456	2178.595702
457	2178.444362
458	2177.65532
459	2177.569416
460	2176.460547
461	2176.274601
462	2176.143296
463	2176.044168
464	2175.760838
465	2174.900866
466	2174.76838
467	2174.662414
468	2174.588233
469	2174.520072
470	2174.327319
471	2172.918608
472	2172.851273
473	2172.657723
474	2172.629807
475	2172.39849
476	2172.286785
477	2172.247739
478	2172.181408
479	2172.165693
480	2172.076533
481	2172.046629
482	2171.928063
483	2171.871025
484	2171.813842
485	2170.644594
486	2170.541156
487	2170.495148
488	2168.684471
489	2168.645602
490	2168.603498
491	2167.303365
492	2167.17276
493	2167.057795
494	2166.957266
495	2165.697381
496	2165.648438
497	2163.719367
498	2163.611529
499	2163.553725
500	2163.399806
501	2162.256578
502	2162.213145
503	2162.134103
504	2161.97371
505	2161.932739
506	2161.867296
507	2161.652049
508	2161.650119
509	2161.578836
510	2159.66597
511	2159.586426
512	2159.513115
513	2158.443179
514	2158.401007
515	2158.294901
516	2158.191372
517	2158.12216
518	2158.014425
519	2157.950232
520	2157.729229
521	2157.620884
522	2157.473434
523	2157.419114
524	2156.748109
525	2156.66683
526	2156.639811
527	2156.567074
528	2156.473011
529	2156.43187
530	2156.41087
531	2156.27293
532	2156.224576
533	2156.117362
534	2154.096542
535	2154.009823
536	2153.904919
537	2153.797381
538	2153.773514
539	2152.994449
540	2152.967335
541	2152.957435
542	2152.85458
543	2152.720271
544	2152.680553
545	2152.556502
546	2152.458989
547	2152.279544
548	2152.182639
549	2152.171249
550	2150.322638
551	2150.296185
552	2150.238609
553	2150.170183
554	2150.100617
555	2149.954442
556	2149.924864
557	2149.734424
558	2149.640704
559	2149.589446
560	2149.486831
561	2149.437912
562	2148.526814
563	2148.501864
564	2148.44065
565	2146.930511
566	2146.884423
567	2146.8547
568	2146.783494
569	2146.691658
570	2146.638892
571	2146.575842
572	2146.554113
573	2145.064619
574	2145.048064
575	2144.986739
576	2144.778899
577	2144.757726
578	2144.291653
579	2144.214372
580	2144.101498
581	2143.959894
582	2143.95029
583	2143.935395
584	2143.896351
585	2143.867114
586	2143.821075
587	2143.718542
588	2143.689761
589	2143.608039
590	2143.400271
591	2143.302495
592	2143.22109
593	2143.152583
594	2143.110184
595	2143.056637
596	2142.947871
597	2142.212687
598	2142.19816
599	2142.169987
600	2142.119711
601	2141.773083
602	2141.75225
603	2141.558921
604	2141.538933
605	2141.516202
606	2141.496046
607	2141.472462
608	2141.462711
609	2141.316636
610	2141.243655
611	2139.444202
612	2139.39752
613	2139.379055
614	2138.191314
615	2138.154272
616	2138.123191
617	2137.825614
618	2137.764291
619	2137.742638
620	2136.334888
621	2136.217064
622	2136.209142
623	2136.158204
624	2136.150145
625	2136.05642
626	2135.266503
627	2135.247167
628	2133.800529
629	2133.737158
630	2133.713769
631	2133.697973
632	2133.570905
633	2133.552763
634	2133.484506
635	2133.4013
636	2133.384995
637	2132.390487
638	2130.541225
639	2130.525857
640	2130.237905
641	2130.09459
642	2130.04943
643	2130.024311
644	2130.011147
645	2129.972197
646	2129.942627
647	2129.875772
648	2129.721622
649	2128.353747
650	2128.27972
651	2128.243698
652	2128.074195
653	2127.697626
654	2127.559878
655	2127.543469
656	2127.489073
657	2127.43965
658	2127.392873
659	2126.228103
660	2126.204647
661	2126.164542
662	2124.710327
663	2124.698734
664	2124.578565
665	2124.473581
666	2124.435281
667	2124.400701
668	2124.382679
669	2124.37629
670	2124.331596
671	2124.006423
672	2124.0019
673	2123.963554
674	2123.878253
675	2123.85805
676	2123.845774
677	2123.783867
678	2123.339863
679	2123.075144
680	2123.038089
681	2122.967363
682	2122.902974
683	2122.892654
684	2122.839835
685	2122.718185
686	2121.461777
687	2120.210384
688	2120.204494
689	2119.898995
690	2119.731374
691	2119.667719
692	2119.605967
693	2119.58207
694	2119.475482
695	2119.421226
696	2117.963902
697	2117.627853
698	2117.609781
699	2117.207213
700	2117.197384
701	2116.080993
702	2116.04022
703	2115.978414
704	2115.949686
705	2115.932296
706	2114.988263
707	2114.954675
708	2114.916897
709	2114.874877
710	2114.663991
711	2114.574428
712	2114.548661
713	2114.532582
714	2114.40537
715	2114.395651
716	2114.382854
717	2113.967734
718	2113.15172
719	2113.136197
720	2113.128818
721	2113.120029
722	2113.111334
723	2113.03199
724	2112.979398
725	2112.970185
726	2112.946545
727	2112.766965
728	2112.621511
729	2112.611272
730	2112.566724
731	2112.541855
732	2112.530124
733	2112.385417
734	2112.317359
735	2112.226143
736	2112.209897
737	2112.10315
738	2112.082591
739	2112.021225
740	2111.959184
741	2111.940765
742	2111.934572
743	2110.757205
744	2110.574056
745	2110.566787
746	2109.44868
747	2109.393686
748	2109.358376
749	2108.177008
750	2107.452433
751	2107.432441
752	2107.421217
753	2107.373803
754	2107.370035
755	2107.365329
756	2105.973392
757	2105.960658
758	2105.941814
759	2105.892207
760	2104.903225
761	2104.889154
762	2104.02388
763	2102.543328
764	2102.391968
765	2100.674294
766	2100.639629
767	2100.456116
768	2099.164632
769	2099.139856
770	2098.052193
771	2097.966361
772	2097.94331
773	2097.765628
774	2096.355372
775	2096.28188
776	2096.26221
777	2095.707267
778	2095.632251
779	2095.574064
780	2095.489193
781	2095.452933
782	2095.446092
783	2095.419823
784	2095.403177
785	2095.364097
786	2095.355824
787	2095.323056
788	2095.28846
789	2095.282075
790	2095.270522
791	2094.6775
792	2094.603828
793	2094.591359
794	2094.576656
795	2094.56958
796	2094.561521
797	2094.406823
798	2094.38674
799	2094.352196
800	2094.344554
801	2094.330716
802	2094.317319
803	2094.304499
804	2094.292829
805	2093.543176
806	2093.536315
807	2093.493113
808	2092.938846
809	2092.927044
810	2092.919984
811	2092.895871
812	2092.890906
813	2092.882309
814	2092.538153
815	2092.470407
816	2092.394274
817	2091.960202
818	2091.923294
819	2091.8634
820	2091.840606
821	2091.807834
822	2091.798291
823	2091.791909
824	2091.773755
825	2091.248144
826	2091.231571
827	2091.224002
828	2090.501944
829	2090.480429
830	2090.465569
831	2090.451608
832	2090.395593
833	2090.384209
834	2090.378313
835	2090.350536
836	2090.343194
837	2089.964272
838	2089.903862
839	2089.896178
840	2089.096153
841	2089.089799
842	2088.710866
843	2088.379938
844	2087.396437
845	2087.36224
846	2087.307711
847	2087.299427
848	2087.28429
849	2087.248789
850	2087.24362
851	2087.114555
852	2087.108036
853	2087.0955
854	2087.045721
855	2087.033773
856	2085.95847
857	2085.951017
858	2085.939775
859	2085.55035
860	2084.214634
861	2084.048813
862	2084.040415
863	2084.015136
864	2084.008635
865	2084.00601
866	2083.667833
867	2083.653318
868	2083.589773
869	2083.557448
870	2083.551608
871	2083.539151
872	2083.49854
873	2083.494924
874	2083.491422
875	2083.485739
876	2083.473475
877	2083.462315
878	2083.452003
879	2083.079028
880	2083.054405
881	2081.646597
882	2081.644246
883	2081.63651
884	2081.603822
885	2080.872923
886	2080.739515
887	2080.732563
888	2080.73059
889	2080.176817
890	2080.171423
891	2079.852863
892	2079.781336
893	2079.692052
894	2079.674669
895	2079.625312
896	2079.591346
897	2079.587228
898	2079.521393
899	2079.260756
900	2079.255189
901	2079.248061
902	2079.207451
903	2079.195534
904	2079.18479
905	2079.117039
906	2079.097152
907	2078.924732
908	2078.914058
909	2078.861629
910	2078.228779
911	2078.140213
912	2078.113237
913	2078.094684
914	2077.991706
915	2077.976348
916	2077.490005
917	2077.482932
918	2077.476942
919	2077.431324
920	2077.424074
921	2077.40202
922	2077.393605
923	2076.073055
924	2076.06806
925	2076.042067
926	2075.982707
927	2075.335984
928	2075.302038
929	2075.241625
930	2074.353961
931	2074.343756
932	2074.074063
933	2074.064896
934	2073.458206
935	2073.452808
936	2073.436795
937	2073.404978
938	2073.366785
939	2073.334195
940	2073.330386
941	2073.305014
942	2072.844327
943	2072.834302
944	2072.460306
945	2072.35764
946	2072.35116
947	2072.34556
948	2072.273177
949	2071.715379
950	2071.69566
951	2071.676506
952	2071.649237
953	2070.905416
954	2070.896771
955	2070.880122
956	2070.870501
957	2070.863322
958	2070.845296
959	2070.803458
960	2070.205336
961	2070.192099
962	2070.136722
963	2070.129854
964	2069.291663
965	2069.241808
966	2069.109953
967	2069.082535
968	2069.066763
969	2069.033326
970	2068.443563
971	2068.430327
972	2068.411875
973	2067.650718
974	2067.547671
975	2067.543658
976	2067.538128
977	2066.438375
978	2066.428682
979	2066.407804
980	2065.737601
981	2065.698553
982	2065.671344
983	2065.652937
984	2065.646458
985	2065.630101
986	2065.230776
987	2065.111703
988	2065.075222
989	2065.042265
990	2065.025572
991	2065.007433
992	2065.002263
993	2064.936013
994	2064.924681
995	2064.9181
996	2064.708835
997	2064.661449
998	2064.656276
999	2064.428715
